,date,visitor_team,visitor_team_points,home_team,home_team_points,attendance,arena
9815,20211124,Portland Trail Blazers,121,Sacramento Kings,125,"14,997",Golden 1 Center
9816,20211126,Detroit Pistons,96,Los Angeles Clippers,107,"18,139",Crypto.com Arena
9817,20211126,Minnesota Timberwolves,115,Charlotte Hornets,133,"19,314",Spectrum Center
9818,20211126,Phoenix Suns,118,New York Knicks,97,"19,812",Madison Square Garden (IV)
9819,20211126,Chicago Bulls,123,Orlando Magic,88,"18,236",Amway Center
9820,20211126,Toronto Raptors,97,Indiana Pacers,114,"13,508",Gainbridge Fieldhouse
9821,20211126,Atlanta Hawks,132,Memphis Grizzlies,100,"16,622",FedEx Forum
9822,20211126,Washington Wizards,101,Oklahoma City Thunder,99,"14,579",Paycom Center
9823,20211126,Boston Celtics,88,San Antonio Spurs,96,"15,360",AT&T Center
9824,20211126,Milwaukee Bucks,120,Denver Nuggets,109,"19,520",Ball Arena
9825,20211126,New Orleans Pelicans,98,Utah Jazz,97,"18,306",Vivint Smart Home Arena
9826,20211126,Portland Trail Blazers,103,Golden State Warriors,118,"18,064",Chase Center
9827,20211126,Sacramento Kings,141,Los Angeles Lakers,137,"18,997",Crypto.com Arena
9828,20211127,Minnesota Timberwolves,121,Philadelphia 76ers,120,"21,011",Wells Fargo Center
9829,20211127,New York Knicks,99,Atlanta Hawks,90,"17,287",State Farm Arena
9830,20211127,Phoenix Suns,113,Brooklyn Nets,107,"18,071",Barclays Center
9831,20211127,Miami Heat,107,Chicago Bulls,104,"21,110",United Center
9832,20211127,Orlando Magic,92,Cleveland Cavaliers,105,"18,248",Rocket Mortgage Fieldhouse
9833,20211127,Charlotte Hornets,143,Houston Rockets,146,"14,687",Toyota Center
9834,20211127,Washington Wizards,120,Dallas Mavericks,114,"20,223",American Airlines Center
9835,20211127,New Orleans Pelicans,105,Utah Jazz,127,"18,306",Vivint Smart Home Arena
9836,20211128,Golden State Warriors,105,Los Angeles Clippers,90,"19,068",Crypto.com Arena
9837,20211128,Milwaukee Bucks,118,Indiana Pacers,100,"13,130",Gainbridge Fieldhouse
9838,20211128,Sacramento Kings,101,Memphis Grizzlies,128,"12,844",FedEx Forum
9839,20211128,Boston Celtics,109,Toronto Raptors,97,"19,800",Scotiabank Arena
9840,20211128,Detroit Pistons,106,Los Angeles Lakers,110,"18,997",Crypto.com Arena
9841,20211129,Orlando Magic,96,Philadelphia 76ers,101,"20,193",Wells Fargo Center
9842,20211129,Denver Nuggets,120,Miami Heat,111,"19,600",FTX Arena
9843,20211129,Charlotte Hornets,119,Chicago Bulls,133,"21,366",United Center
9844,20211129,Oklahoma City Thunder,89,Houston Rockets,102,"12,829",Toyota Center
9845,20211129,Indiana Pacers,98,Minnesota Timberwolves,100,"14,191",Target Center
9846,20211129,Cleveland Cavaliers,114,Dallas Mavericks,96,"19,229",American Airlines Center
9847,20211129,Washington Wizards,99,San Antonio Spurs,116,"12,606",AT&T Center
9848,20211129,Portland Trail Blazers,107,Utah Jazz,129,"18,306",Vivint Smart Home Arena
9849,20211129,New Orleans Pelicans,123,Los Angeles Clippers,104,"15,691",Crypto.com Arena
9850,20211130,New York Knicks,110,Brooklyn Nets,112,"18,081",Barclays Center
9851,20211130,Memphis Grizzlies,98,Toronto Raptors,91,"19,800",Scotiabank Arena
9852,20211130,Golden State Warriors,96,Phoenix Suns,104,"17,071",Phoenix Suns Arena
9853,20211130,Detroit Pistons,92,Portland Trail Blazers,110,"16,071",Moda Center
9854,20211130,Los Angeles Lakers,117,Sacramento Kings,92,"12,459",Golden 1 Center
9855,20211201,Atlanta Hawks,114,Indiana Pacers,111,"12,656",Gainbridge Fieldhouse
9856,20211201,Denver Nuggets,103,Orlando Magic,108,"14,191",Amway Center
9857,20211201,Minnesota Timberwolves,107,Washington Wizards,115,"15,318",Capital One Arena
9858,20211201,Philadelphia 76ers,87,Boston Celtics,88,"19,156",TD Garden
9859,20211201,Cleveland Cavaliers,111,Miami Heat,85,"19,600",FTX Arena
9860,20211201,Charlotte Hornets,125,Milwaukee Bucks,127,"17,341",Fiserv Forum
9861,20211201,Dallas Mavericks,139,New Orleans Pelicans,107,"15,558",Smoothie King Center
9862,20211201,Houston Rockets,114,Oklahoma City Thunder,110,"13,222",Paycom Center
9863,20211201,Sacramento Kings,124,Los Angeles Clippers,115,"17,217",Crypto.com Arena
